id,name,armor_type,gender,hunter_type,hunter_rank,village_rank,rarity,defense,max_defense,fire_res,water_res,thunder_res,ice_res,dragon_res,num_slots,skill_1,skill_1_points,skill_2,skill_2_points,skill_3,skill_3_points,skill_4,skill_4_points,skill_5,skill_5_points,price,a_recipe_item_1,a_recipe_item_1_qty,a_recipe_item_2,a_recipe_item_2_qty,a_recipe_item_3,a_recipe_item_3_qty,a_recipe_item_4,a_recipe_item_4_qty,b_recipe_item_1,b_recipe_item_1_qty,b_recipe_item_2,b_recipe_item_2_qty
1,Mafumofu Hood,HEAD,Male/Female,Blademaster/Gunner,1,1,1,1,55,0,0,0,3,0,0,Cold Res,4,Protection,2,Heat Res,-2,PsychicVis,3,,,50,Anteka Pelt,1,,,,,,,,,,
2,Leather Helm,HEAD,Male/Female,Blademaster/Gunner,1,1,1,2,56,2,0,0,0,0,1,Gathering,2,Throw,2,Backpackng,1,Shot Mix,2,Cooking,-2,150,Disk Stone,1,,,,,,,,,,
3,Chain Helm,HEAD,Male/Female,Blademaster/Gunner,1,1,1,4,56,2,2,-2,1,0,1,Health,2,Whim,2,Map,2,Backpackng,2,Paralysis,-1,300,Iron Ore,2,Sm Monster Bone,2,,,,,,,,
4,Hunter's Helm,HEAD,Male/Female,Blademaster/Gunner,1,1,1,8,106,0,0,-4,0,0,1,PsychicVis,3,Carving,2,Health,3,Faint,-1,,,450,Iron Ore,2,Bullfango Pelt,1,Kelbi Hide,2,,,Normal Ticket,1,,
5,Hunter's Cap,HEAD,Male/Female,Blademaster/Gunner,1,1,1,6,56,2,2,-2,2,0,1,PsychicVis,3,Carving,2,Precision,3,Faint,-1,,,450,Iron Ore,2,Bullfango Pelt,1,Kelbi Hide,2,,,Normal Ticket,1,,
6,Protection Piercing,HEAD,Male/Female,Blademaster/Gunner,1,2,2,12,58,0,0,0,0,0,0,Auto-Guard,10,,,,,,,,,550,Machalite Ore,1,Kut-Ku Scale,2,Velociprey Fang,4,Iron Ore,5,,,,
7,Bone Helm,HEAD,Male/Female,Blademaster/Gunner,1,2,2,14,106,2,2,-2,-2,-2,1,Anti-Theft,2,Horn,2,Alchemy,3,PsychicVis,1,Map,-1,650,Unknown Skull,1,Blango Pelt,1,,,,,Hard Ticket,1,,
8,Bone Cap,HEAD,Male/Female,Blademaster/Gunner,1,2,2,8,56,5,5,0,-1,0,1,Anti-Theft,2,BBQ,2,Alchemy,3,PsychicVis,1,Map,-1,650,Unknown Skull,1,Blango Pelt,1,,,,,Hard Ticket,1,,
9,Giaprey Helm,HEAD,Male/Female,Blademaster/Gunner,1,1,2,16,106,0,1,1,3,-1,1,Snow Res,3,Ice Res,2,Fire Res,-2,PsychicVis,2,,,750,Giaprey Scale,2,Iron Ore,4,Anteka Antlers,1,,,,,,
10,Giaprey Cap,HEAD,Male/Female,Blademaster/Gunner,1,1,2,8,56,1,3,3,4,0,1,Snow Res,3,PelletSAdd,2,Fire Res,-2,PsychicVis,2,,,750,Giaprey Scale,2,Iron Ore,4,Anteka Antlers,1,,,,,,
11,Battle Helm,HEAD,Male/Female,Blademaster/Gunner,1,1,2,16,106,2,-2,-2,-1,0,1,SwdShrpner,2,Attack,2,Guard,2,Hunger,-1,PsychicVis,2,750,Disk Stone,2,Kelbi Hide,2,Earth Crystal,2,Whetstone,2,,,,
12,Battle Cap,HEAD,Male/Female,Blademaster/Gunner,1,1,2,10,56,4,0,0,0,2,1,Reload,2,Attack,2,NormalS Up,2,Hunger,-1,PsychicVis,2,750,Disk Stone,2,Kelbi Hide,2,Huskberry,10,Sm Bone Husk,2,,,,
13,Velociprey Helm,HEAD,Male/Female,Blademaster/Gunner,1,2,2,20,106,1,1,1,0,-1,1,Faint,3,SwdShrpner,1,Paralysis,-1,MixSucRate,2,PsychicVis,2,1150,Velociprey Scale,3,Velociprey Hide,2,Carpenterbug,2,,,,,,
14,Velociprey Cap,HEAD,Male/Female,Blademaster/Gunner,1,2,2,10,56,3,3,3,1,0,1,Faint,3,PelletS Up,2,Paralysis,-1,Shot Mix,2,PsychicVis,1,1150,Velociprey Scale,3,Velociprey Hide,2,Carpenterbug,2,,,,,,
15,Vespoid Helm,HEAD,Male/Female,Blademaster/Gunner,1,1,3,20,106,-6,-5,2,-4,2,1,Paralysis,3,Everlastng,2,MixSucRate,2,Poison,-2,,,1150,Vespoid Wing,3,Iron Ore,4,Carpenterbug,2,,,,,,
16,Vespoid Cap,HEAD,Male/Female,Blademaster/Gunner,1,1,3,10,56,-5,-4,5,-3,2,1,Paralysis,3,Everlastng,2,MixSucRate,2,Poison,-2,,,1150,Vespoid Shell,4,Iron Ore,4,Carpenterbug,2,,,,,,
17,Hi-Metal Helm,HEAD,Male/Female,Blademaster/Gunner,1,3,3,20,106,-2,-2,3,-1,0,1,Health,3,Gunnery,3,Whim,1,Stamina,-2,,,1150,Lightcrystal,1,Machalite Ore,2,Earth Crystal,2,,,Plus Class Tcket,1,Iron Ore,1
18,Hi-Metal Cap,HEAD,Male/Female,Blademaster/Gunner,1,3,3,10,56,0,0,5,0,0,1,Health,3,Gunnery,2,Crag S Add,2,Stamina,-2,,,1150,Lightcrystal,1,Machalite Ore,2,Earth Crystal,2,,,Plus Class Tcket,1,Iron Ore,1
19,Hornet Helm,HEAD,Male/Female,Blademaster/Gunner,1,2,3,22,106,-6,-1,-5,-5,2,1,Dragon Res,2,HearProtct,5,Protection,-2,,,,,1350,Hornetaur Head,3,Hornetaur Shell,3,Vibrant Pelt,1,Monster Fluid,1,,,,
20,Hornet Cap,HEAD,Male/Female,Blademaster/Gunner,1,2,3,11,57,-5,2,-3,-4,3,2,Dragon Res,2,HearProtct,3,Protection,-2,,,,,1350,Hornetaur Head,3,Hornetaur Shell,3,Vibrant Pelt,1,Monster Fluid,1,,,,
21,Genprey Helm,HEAD,Male/Female,Blademaster/Gunner,1,2,3,22,106,2,-2,3,-2,-1,1,Paralysis,3,Health,3,Poison,-1,SwdShrpner,2,,,1350,Gendrome Hide,1,Genprey Scale,4,Iron Ore,4,Sm Monster Bone,2,,,,
22,Genprey Cap,HEAD,Male/Female,Blademaster/Gunner,1,2,3,11,57,4,0,5,0,0,1,Paralysis,3,PelletSAdd,4,Spc Attack,1,Rec Speed,-1,,,1350,Gendrome Hide,1,Genprey Scale,4,Iron Ore,4,Sm Monster Bone,2,,,,
23,Ioprey Helm,HEAD,Male/Female,Blademaster/Gunner,1,3,3,24,106,3,2,-2,1,-1,1,Poison,3,Spc Attack,2,Fatigue,1,Faint,-1,Rec Speed,-2,1650,Ioprey Scale,6,Ioprey Hide,2,Iron Ore,2,Sm Bone Husk,5,,,,
24,Ioprey Cap,HEAD,Male/Female,Blademaster/Gunner,1,3,3,12,56,4,3,0,2,0,1,Poison,3,PelletS Up,4,Fatigue,1,Faint,-1,,,1650,Ioprey Scale,6,Ioprey Hide,2,Iron Ore,2,Sm Bone Husk,5,,,,
