id,name,armor_type,gender,hunter_type,hunter_rank,village_rank,rarity,defense,max_defense,fire_res,water_res,thunder_res,ice_res,dragon_res,num_slots,skill_1,skill_1_points,skill_2,skill_2_points,skill_3,skill_3_points,skill_4,skill_4_points,skill_5,skill_5_points,price,a_recipe_item_1,a_recipe_item_1_qty,a_recipe_item_2,a_recipe_item_2_qty,a_recipe_item_3,a_recipe_item_3_qty,a_recipe_item_4,a_recipe_item_4_qty,b_recipe_item_1,b_recipe_item_1_qty,b_recipe_item_2,b_recipe_item_2_qty
1,Mafumofu Boots,LEGS,Male/Female,Blademaster/Gunner,1,1,1,1,55,0,0,0,3,0,1,Cold Res,4,Protection,2,Heat Res,-2,Ice Res,1,,,50,Anteka Pelt,1,,,,,,,,,,
2,Green Pants,LEGS,Male/Female,Blademaster/Gunner,1,1,1,2,56,2,0,0,0,0,1,Gathering,3,Throw,2,Backpackng,2,Alchemy,2,,,150,Anteka Pelt,1,Sm Monster Bone,1,,,,,,,,
3,Blue Pants,LEGS,Male/Female,Blademaster/Gunner,1,1,1,4,56,2,2,-2,1,0,1,Health,3,Whim,2,Map,1,Hunger,2,Paralysis,-1,300,Iron Ore,2,Anteka Pelt,3,,,,,,,,
4,Hunter's Greaves,LEGS,Male/Female,Blademaster,1,1,1,8,106,0,0,-4,0,0,1,PsychicVis,3,Carving,2,BBQ,3,Faint,-1,,,450,Iron Ore,3,Bullfango Pelt,1,Earth Crystal,1,,,Normal Ticket,1,,
5,Hunter's Leggings,LEGS,Male/Female,Gunner,1,1,1,6,56,2,2,-2,2,0,1,PsychicVis,3,Carving,2,NormalS Up,3,Faint,-1,,,450,Iron Ore,3,Bullfango Pelt,1,Earth Crystal,1,,,Normal Ticket,1,,
6,Bone Greaves,LEGS,Male/Female,Blademaster,1,1,2,14,106,2,2,-2,-2,-2,1,Anti-Theft,2,Horn,2,Gluttony,3,PsychicVis,1,Map,-1,650,Brute Bone,4,Anteka Pelt,1,Giaprey Hide,1,,,Hard Ticket,1,,
7,Bone Leggings,LEGS,Male/Female,Gunner,1,1,2,8,56,5,5,0,-1,0,1,Anti-Theft,2,BBQ,2,Gluttony,3,PsychicVis,1,Map,-1,650,Brute Bone,4,Anteka Pelt,1,Giaprey Hide,1,,,Hard Ticket,1,,
8,Giaprey Greaves,LEGS,Male/Female,Blademaster,1,1,2,16,106,0,1,1,3,-1,1,Snow Res,3,Guard,2,Fire Res,-2,PsychicVis,2,,,750,Giaprey Scale,2,Disk Stone,3,Giaprey Hide,4,,,,,,
9,Giaprey Leggings,LEGS,Male/Female,Gunner,1,1,2,8,56,1,3,3,4,0,1,Snow Res,3,PelletS Up,2,Fire Res,-2,PsychicVis,2,,,750,Giaprey Scale,2,Disk Stone,3,Giaprey Hide,4,,,,,,
10,Battle Greaves,LEGS,Male/Female,Blademaster,1,1,2,16,106,2,-2,-2,-1,0,1,SwdShrpner,2,Attack,2,Health,2,Hunger,-1,PsychicVis,2,750,Kelbi Hide,1,Bullfango Pelt,2,Earth Crystal,3,Whetstone,5,,,,
11,Battle Leggings,LEGS,Male/Female,Gunner,1,1,2,10,56,4,0,0,0,2,1,Reload,2,Attack,2,Precision,2,Hunger,-1,PsychicVis,2,750,Kelbi Hide,1,Bullfango Pelt,2,Huskberry,20,Sm Bone Husk,5,,,,
12,Silver Metal Boots,LEGS,Male/Female,Blademaster/Gunner,10,4,2,18,56,0,2,-2,0,0,2,Gunnery,5,Stamina,-2,,,,,,,1900,Normal Ticket,1,Hercudrome,1,,,,,,,,
13,Dark Metal Boots,LEGS,Male/Female,Blademaster/Gunner,10,4,2,20,56,0,-2,2,0,0,2,PsychicVis,5,Sneak,2,,,,,,,2300,Normal Ticket,1,Hercudrome,1,,,,,,,,
14,Velociprey Greaves,LEGS,Male/Female,Blademaster,1,2,2,20,106,1,1,1,0,-1,1,Faint,3,SwdShrpner,2,Paralysis,-2,MixSucRate,2,,,1150,Velocidrome Hide,1,Velociprey Scale,3,Velociprey Hide,1,,,,,,
15,Velociprey Leggings,LEGS,Male/Female,Gunner,1,2,2,10,56,3,3,3,1,0,1,Faint,3,PelletSAdd,2,Paralysis,-2,Shot Mix,2,,,1150,Velocidrome Hide,1,Velociprey Scale,3,Velociprey Hide,1,,,,,,
16,Vespoid Greaves,LEGS,Male/Female,Blademaster,1,1,3,20,106,-6,-5,2,-4,2,1,Paralysis,2,Everlastng,2,Backpackng,4,Poison,-1,,,1150,Vespoid Wing,2,Disk Stone,3,Monster Fluid,1,,,,,,
