id,name,armor_type,gender,hunter_type,hunter_rank,village_rank,rarity,defense,max_defense,fire_res,water_res,thunder_res,ice_res,dragon_res,num_slots,skill_1,skill_1_points,skill_2,skill_2_points,skill_3,skill_3_points,skill_4,skill_4_points,skill_5,skill_5_points,price,a_recipe_item_1,a_recipe_item_1_qty,a_recipe_item_2,a_recipe_item_2_qty,a_recipe_item_3,a_recipe_item_3_qty,a_recipe_item_4,a_recipe_item_4_qty,b_recipe_item_1,b_recipe_item_1_qty,b_recipe_item_2,b_recipe_item_2_qty
1,Mafumofu Jacket,CHEST,Male/Female,Blademaster/Gunner,1,1,1,1,55,0,0,0,3,0,0,Cold Res,4,Protection,2,Heat Res,-2,Ice Res,1,,,50,Anteka Pelt,1,,,,,,,,,,
2,Leather Armor,CHEST,Male/Female,Blademaster/Gunner,1,1,1,2,56,2,0,0,0,0,0,Gathering,2,Throw,2,Backpackng,2,MixSucRate,2,Cooking,-1,150,Disk Stone,1,Anteka Pelt,1,,,,,,,,
3,Chain Mail,CHEST,Male/Female,Blademaster/Gunner,1,1,1,4,56,2,2,-2,1,0,0,Health,3,Whim,2,Map,1,Hunger,2,Paralysis,-1,300,Iron Ore,3,Anteka Pelt,1,,,,,,,,
4,Hunter's Mail,CHEST,Male/Female,Blademaster,1,1,1,8,106,0,0,-4,0,0,0,PsychicVis,3,Carving,2,BBQ,3,Faint,-1,,,450,Iron Ore,3,Bullfango Pelt,1,Disk Stone,1,,,Normal Ticket,1,,
5,Hunter's Vest,CHEST,Male/Female,Gunner,1,1,1,6,56,2,2,-2,2,0,0,PsychicVis,3,Carving,2,NormalS Up,3,Faint,-1,,,450,Iron Ore,3,Bullfango Pelt,1,Disk Stone,1,,,Normal Ticket,1,,
6,Bone Mail,CHEST,Male/Female,Blademaster,1,1,2,14,106,2,2,-2,-2,-2,0,Anti-Theft,3,Horn,2,Alchemy,2,PsychicVis,1,Map,-1,650,Brute Bone,3,Bullfango Pelt,1,Giaprey Hide,1,,,Hard Ticket,1,,
7,Bone Vest,CHEST,Male/Female,Gunner,1,1,2,8,56,5,5,0,-1,0,0,Anti-Theft,3,BBQ,2,Alchemy,2,PsychicVis,1,Map,-1,650,Brute Bone,3,Bullfango Pelt,1,Giaprey Hide,1,,,Hard Ticket,1,,
8,Giaprey Mail,CHEST,Male/Female,Blademaster,1,2,2,16,106,0,1,1,3,-1,1,Snow Res,2,Guard,2,Fire Res,-1,PsychicVis,2,,,750,Giadrome Hide,1,Earth Crystal,3,Giaprey Scale,3,,,,,,
9,Giaprey Vest,CHEST,Male/Female,Gunner,1,2,2,8,56,1,3,3,4,0,1,Snow Res,2,PelletS Up,2,Fire Res,-1,PsychicVis,2,,,750,Giadrome Hide,1,Earth Crystal,3,Giaprey Scale,3,,,,,,
10,Battle Mail,CHEST,Male/Female,Blademaster,1,2,2,16,106,2,-2,-2,-1,0,0,SwdShrpner,3,Attack,2,Health,2,Hunger,-2,,,750,Kelbi Hide,2,Velociprey Scale,1,Earth Crystal,3,Whetstone,5,,,,
