id,name,armor_type,gender,hunter_type,hunter_rank,village_rank,rarity,defense,max_defense,fire_res,water_res,thunder_res,ice_res,dragon_res,num_slots,skill_1,skill_1_points,skill_2,skill_2_points,skill_3,skill_3_points,skill_4,skill_4_points,skill_5,skill_5_points,price,a_recipe_item_1,a_recipe_item_1_qty,a_recipe_item_2,a_recipe_item_2_qty,a_recipe_item_3,a_recipe_item_3_qty,a_recipe_item_4,a_recipe_item_4_qty,b_recipe_item_1,b_recipe_item_1_qty,b_recipe_item_2,b_recipe_item_2_qty
1,Mafumofu Coat,WAIST,Male/Female,Blademaster/Gunner,1,1,1,1,55,0,0,0,3,0,1,Cold Res,4,Protection,2,Heat Res,-2,Map,1,,,50,Anteka Pelt,1,,,,,,,,,,
2,Light Belt,WAIST,Male/Female,Blademaster/Gunner,1,1,1,2,56,-2,2,2,2,-2,1,Gathering,4,Backpackng,5,,,,,,,100,Anteka Pelt,2,,,,,,,,,,
3,Leather Belt,WAIST,Male/Female,Blademaster/Gunner,1,1,1,2,56,2,0,0,0,0,0,Gathering,3,Throw,2,Backpackng,1,MixSucRate,3,Cooking,-2,150,Sm Monster Bone,2,Anteka Pelt,1,,,,,,,,
4,Iron Belt,WAIST,Male/Female,Blademaster/Gunner,1,1,1,4,56,4,-4,-6,-2,0,1,Stamina,3,Hunger,4,Fate,2,,,,,200,Iron Ore,2,Kelbi Hide,1,Pin Tuna,2,,,,,,
5,Chain Belt,WAIST,Male/Female,Blademaster/Gunner,1,1,1,4,56,2,2,-2,1,0,1,Health,3,Whim,2,Map,1,Backpackng,2,Paralysis,-1,300,Iron Ore,2,Anteka Pelt,2,,,,,,,,
6,Hunter's Tasset,WAIST,Male/Female,Blademaster,1,1,1,8,106,0,0,-4,0,0,1,PsychicVis,3,Carving,2,BBQ,3,Faint,-1,,,450,Iron Ore,1,Bullfango Pelt,3,,,,,Normal Ticket,1,,
7,Hunter's Coat,WAIST,Male/Female,Gunner,1,1,1,6,56,2,2,-2,2,0,1,PsychicVis,3,Carving,2,NormalS Up,3,Faint,-1,,,450,Iron Ore,1,Bullfango Pelt,3,,,,,Normal Ticket,1,,
8,Bone Tasset,WAIST,Male/Female,Blademaster,1,2,2,14,106,2,2,-2,-2,-2,1,Anti-Theft,3,Horn,2,Alchemy,2,PsychicVis,1,Map,-1,650,Unknown Skull,1,Bullfango Pelt,1,Anteka Pelt,2,,,Hard Ticket,1,,
9,Bone Coat,WAIST,Male/Female,Gunner,1,1,2,8,56,5,5,0,-1,0,1,Anti-Theft,3,BBQ,2,Alchemy,2,PsychicVis,1,Map,-1,650,Carpenterbug,2,Bullfango Pelt,1,Sm Bone Husk,3,,,Hard Ticket,1,,
10,Giaprey Tasset,WAIST,Male/Female,Blademaster,1,2,2,16,106,0,1,1,3,-1,0,Torso Inc,,,,,,,,,,750,Giaprey Scale,3,Earth Crystal,2,Bullfango Pelt,1,,,,,,
11,Giaprey Coat,WAIST,Male/Female,Gunner,1,2,2,8,56,1,3,3,4,0,0,Torso Inc,,,,,,,,,,750,Giaprey Scale,3,Earth Crystal,2,Bullfango Pelt,1,,,,,,
12,Battle Tasset,WAIST,Male/Female,Blademaster,1,2,2,16,106,2,-2,-2,-1,0,1,SwdShrpner,3,Attack,2,Health,2,Hunger,-2,,,750,Kelbi Hide,2,Anteka Pelt,2,Earth Crystal,2,Whetstone,2,,,,
13,Battle Coat,WAIST,Male/Female,Gunner,1,2,2,10,56,4,0,0,0,2,1,Reload,3,Attack,2,Precision,2,Hunger,-2,,,750,Kelbi Hide,2,Anteka Pelt,2,Iron Ore,3,Sm Bone Husk,3,,,,
14,Hide Belt,WAIST,Male/Female,Blademaster/Gunner,1,2,2,18,56,2,2,2,2,0,0,HiSpdGathr,10,,,,,,,,,950,FireWyvern Fluid,2,Bulldrome Hide,1,,,,,,,,
15,Velociprey Tasset,WAIST,Male/Female,Blademaster,1,2,2,20,106,1,1,1,0,-1,1,Faint,3,SwdShrpner,2,Paralysis,-2,MixSucRate,2,,,1150,Velociprey Hide,4,Velociprey Scale,2,Bullfango Pelt,1,Carpenterbug,1,,,,
16,Velociprey Coat,WAIST,Male/Female,Gunner,1,2,2,10,56,3,3,3,1,0,1,Faint,3,PelletSAdd,2,Paralysis,-2,Shot Mix,2,,,1150,Velociprey Hide,4,Velociprey Scale,2,Bullfango Pelt,1,Carpenterbug,1,,,,
17,Vespoid Tasset,WAIST,Male/Female,Blademaster,1,1,3,20,106,-6,-5,2,-4,2,1,Paralysis,3,Everlastng,2,MixSucRate,2,Poison,-2,,,1150,Vespoid Wing,4,Iron Ore,4,Disk Stone,3,,,,,,
18,Vespoid Coat,WAIST,Male/Female,Gunner,1,1,3,10,56,-5,-4,5,-3,2,1,Paralysis,3,Everlastng,2,MixSucRate,2,Poison,-2,,,1150,Vespoid Shell,5,Iron Ore,4,Disk Stone,3,,,,,,
19,Hi-Metal Tasset,WAIST,Male/Female,Blademaster,1,1,3,20,106,-2,-2,3,-1,0,1,Health,3,Gunnery,3,Whim,1,Stamina,-2,,,1150,Machalite Ore,2,Disk Stone,3,Thunderbug,2,,,Plus Class Tcket,1,Iron Ore,1
20,Hi-Metal Coat,WAIST,Male/Female,Gunner,1,1,3,10,56,0,0,5,0,0,1,Health,3,Gunnery,3,Crag S Add,1,Stamina,-2,,,1150,Machalite Ore,2,Disk Stone,3,Thunderbug,2,,,Plus Class Tcket,1,Iron Ore,1
21,Hornet Tasset,WAIST,Male/Female,Blademaster,1,2,3,22,106,-6,-1,-5,-5,2,1,Dragon Res,2,HearProtct,3,Protection,-2,Gathering,2,,,1350,Hornetaur Wing,2,Hornetaur Shell,4,Carpenterbug,3,Monster Fluid,1,,,,
22,Hornet Coat,WAIST,Male/Female,Gunner,1,2,3,11,57,-5,2,-3,-4,3,1,Dragon Res,2,HearProtct,3,Protection,-2,Gathering,2,,,1350,Hornetaur Wing,2,Hornetaur Shell,4,Carpenterbug,3,Monster Fluid,1,,,,
23,Genprey Tasset,WAIST,Male/Female,Blademaster,1,2,3,22,106,2,-2,3,-2,-1,1,Paralysis,3,Spc Attack,3,Rec Speed,-3,,,,,1350,Genprey Hide,4,Genprey Scale,3,Iron Ore,2,Bullfango Pelt,2,,,,
24,Genprey Coat,WAIST,Male/Female,Gunner,1,2,3,11,57,4,0,5,0,0,1,Paralysis,3,PelletS Up,3,Spc Attack,1,Rec Speed,-1,Poison,-1,1350,Genprey Hide,4,Genprey Scale,3,Iron Ore,2,Bullfango Pelt,2,,,,
25,Chrome Metal Coat,WAIST,Male/Female,Blademaster/Gunner,10,6,3,24,58,2,-2,0,0,0,0,Torso Inc,,,,,,,,,,3630,Hard Ticket,1,Dragonite Ore,1,,,,,,,,
26,Steel Belt,WAIST,Male/Female,Blademaster,1,1,3,24,106,2,2,-2,0,0,1,Guard,2,Map,4,Stamina,-2,PsychicVis,1,,,1650,Machalite Ore,8,Iron Ore,12,Earth Crystal,2,,,Plus Class Tcket,1,Dragonite Ore,1
27,Ioprey Tasset,WAIST,Male/Female,Blademaster,1,2,3,24,106,3,2,-2,1,-1,1,Poison,3,Health,4,Fatigue,1,Faint,-1,,,1650,Iodrome Hide,3,Med Monster Bone,3,Ioprey Scale,3,Machalite Ore,1,,,,
28,Ioprey Coat,WAIST,Male/Female,Gunner,1,2,3,12,56,4,3,0,2,0,1,Poison,3,PelletSAdd,4,Fatigue,1,Faint,-1,,,1650,Iodrome Hide,3,Med Monster Bone,3,Ioprey Scale,3,Machalite Ore,1,,,,
29,Kut-Ku Tasset,WAIST,Male/Female,Blademaster,1,2,3,24,106,2,-2,0,-2,-1,1,Attack,2,Health,3,Fire Res,2,Defense,-1,Water Res,-1,1650,Kut-Ku Scale,2,Kut-Ku Shell,3,Med Monster Bone,1,,,,,,
30,Kut-Ku Coat,WAIST,Male/Female,Gunner,1,2,3,12,56,5,1,3,-1,0,1,Attack,2,Health,3,Fire Res,2,Defense,-1,Water Res,-1,1650,Kut-Ku Scale,2,Kut-Ku Shell,3,Med Monster Bone,1,,,,,,
31,Cephalos Tasset,WAIST,Male/Female,Blademaster,1,2,3,28,106,-3,2,-4,2,0,1,Heat Res,4,Hunger,3,Cold Res,-2,,,,,2350,Cephalos Scale,5,Piscine Fang,2,Med Monster Bone,2,Burst Arrowana,5,,,,
32,Cephalos Coat,WAIST,Male/Female,Gunner,1,2,3,16,56,-1,5,-2,3,1,1,Heat Res,4,Hunger,3,Cold Res,-2,,,,,2350,Cephalos Scale,5,Piscine Fang,2,Med Monster Bone,2,Burst Arrowana,5,,,,
33,Conga Tasset,WAIST,Male/Female,Blademaster,1,2,3,28,106,-3,2,2,-1,0,1,BombStrUp,2,Antiseptic,2,Hunger,-2,Gluttony,3,,,2350,Congalala Fang,3,Congalala Pelt,3,Bulldrome Hide,1,Giant Bone,2,,,,
34,Conga Coat,WAIST,Male/Female,Gunner,1,2,3,16,56,-1,4,4,0,1,1,NormalS Up,2,Antiseptic,2,Hunger,-2,Gluttony,3,,,2350,Congalala Fang,3,Congalala Pelt,3,Bulldrome Hide,1,Giant Bone,2,,,,
35,Gypceros Tasset,WAIST,Male/Female,Blademaster,1,3,3,30,106,-4,1,4,1,0,1,Poison,3,ThunderRes,2,Stamina,2,Hunger,-2,,,2850,Poison Sac,1,Antiseptic Stone,2,Rubbery Hide,2,,,,,,
36,Gypceros Coat,WAIST,Male/Female,Gunner,1,3,3,16,56,-1,4,6,3,0,1,Poison,3,ThunderRes,2,Stamina,2,Hunger,-2,,,2850,Poison Sac,1,Antiseptic Stone,2,Rubbery Hide,2,,,,,,
37,Khezu Tasset,WAIST,Male/Female,Blademaster,1,3,3,32,106,-3,3,4,1,0,2,Rec Speed,3,Wide Area,2,Horn,1,Faint,-1,,,3350,Flabby Hide,2,Iron Ore,8,Rubbery Hide,1,,,,,,
